Site,Ann_rain,Min_Temp,Max_Temp
ABER,750,10,20
ABI.SHA,500,5,45
ABTL,681,15,39
ADX,27,9,41
AIHS,84,5,28
AKA,937,14,28
AMB,510,27.5,33
ANG,850,15,30
ANME,231,15,41
APFR,870,18,39
ARAW,350,20,40
ARU,1125,13,35
ATFR,858,18,39
ATNR,41,7,39
AWA,619,10,42
BAD,1238,15,39
BAIE,57,12,27
BALE,1000,-10,30
BANC,1440,9,31
BASA,869,15,39
BAZ,944,13.5,31.5
BBN,1527,17,30.5
BELZ,484,-3,31
BEN,1285,15,36.5
BF,1480,8.5,23.5
BHINE,508,11.5,34
BIK,797,7,32
BIN,825,18,40
BON,977,19,37
BOUH,192,4,36
BUD,1684,19,32
BUF,967,13,29
CCSR,8,9,26
CHAM,401,0,35
CHO,650,4,39
CLB,517,13,38
CMA,2110,17,28
COM,1200,22,33
CON,1317,19,32
CONG,1832,18,30
CROS,1550,15,33
DEUX,887,16,38
DIAW,219,15,34
DJU,992,-1,31
DVGP,371,4,31
ENIG,1596,15,33
ETO,393,6,35
FADA,72,14,41
