species,per_fruit
Alouatta_caraya,23.8
Alouatta_palliata,33.1
Alouatta_pigra,40.8
Alouatta_seniculus,40
Ateles_belzebuth,82.7
Ateles_geoffroyi,76.8
Cebus_apella,52
Cercocebus_agilis,75
Cercopithecus_ascanius,54.8
Cercopithecus_mitis,51.6
Chlorocebus_aethiops,10.6
Colobus_guereza,19
Erythrocebus_patas,10
Eulemur_fulvus,68.7
Gorilla_gorilla,11
Hylobates_lar,64
Indri_indri,43
Lagothrix_lagotricha,78.9
Lemur_catta,54
Lophocebus_albigena,64
Macaca_sylvanus,2.6
Nasalis_larvatus,36
Pan_troglodytes,66
Papio_hamadryas,64.1
Piliocolobus_badius,20.3
Pithecia_pithecia,29.4
Propithecus_diadema,30.6
Saguinus_fuscicollis,55
Semnopithecus_entellus,52
Symphalangus_syndactylus,44.2
Varecia_variegata,88
