species,female_mass
Alouatta_caraya,4240
Alouatta_palliata,5350
Alouatta_pigra,6430
Alouatta_seniculus,5210
Ateles_belzebuth,8484.4
Ateles_geoffroyi,7290
Cebus_apella,2489.1
Cercocebus_agilis,5660
Cercopithecus_ascanius,2901
Cercopithecus_mitis,4628
Chlorocebus_aethiops,3438.3
Colobus_guereza,7505.6
Erythrocebus_patas,6500
Eulemur_fulvus,2333.3
Gorilla_gorilla,84500
Hylobates_lar,5380.9
Indri_indri,6840
Lagothrix_lagotricha,7020
Lemur_catta,2210
Lophocebus_albigena,6010
Macaca_sylvanus,9625
Nasalis_larvatus,9729.6
Pan_troglodytes,40366.7
Papio_hamadryas,12600
Piliocolobus_badius,6976
Pithecia_pithecia,1580
Propithecus_diadema,6210
Saguinus_fuscicollis,396.6
Semnopithecus_entellus,11109.7
Symphalangus_syndactylus,10710
Varecia_variegata,3430
