species,robustmandible
Alouatta_caraya,1
Alouatta_palliata,1
Alouatta_pigra,1
Alouatta_seniculus,1
Ateles_belzebuth,0
Ateles_geoffroyi,0
Cebus_apella,1
Cercocebus_agilis,1
Cercopithecus_ascanius,0
Cercopithecus_mitis,0
Chlorocebus_aethiops,0
Colobus_guereza,1
Erythrocebus_patas,0
Eulemur_fulvus,0
Gorilla_gorilla,1
Hylobates_lar,0
Indri_indri,1
Lagothrix_lagotricha,0
Lemur_catta,0
Lophocebus_albigena,1
Macaca_sylvanus,0
Nasalis_larvatus,1
Pan_troglodytes,0
Papio_hamadryas,0
Piliocolobus_badius,1
Pithecia_pithecia,1
Propithecus_diadema,1
Saguinus_fuscicollis,0
Semnopithecus_entellus,1
Symphalangus_syndactylus,0
Varecia_variegata,0
