species,abs_female_ECV,female_mass, groupsize,per_leaves
Alouatta_caraya,47.8,4240,12.37,67.7
Alouatta_palliata,48,5350,14.87,56.4
Alouatta_pigra,48.8,6430,6.84,45.1
Alouatta_seniculus,54.3,5210,7.44,48.1
Ateles_belzebuth,112.7,8484.4,27.75,9
Ateles_geoffroyi,109.6,7290,27.5,14.9
Cebus_apella,64.3,2489.1,18.1,10
Cercocebus_agilis,100.9,5660,44.67,16
Cercopithecus_ascanius,54.9,2901,24.34,14.2
Cercopithecus_mitis,65.2,4628,20.24,20.4
Chlorocebus_aethiops,59.3,3438.3,18.51,14.3
Colobus_guereza,69.8,7505.6,9.09,73
Erythrocebus_patas,88.9,6500,24.46,2
Eulemur_fulvus,25.4,2333.3,8.3,25.6
Gorilla_gorilla,468,84500,10.75,93
Hylobates_lar,100.5,5380.9,3.86,24.7
Indri_indri,34.1,6840,3.33,57
Lagothrix_lagotricha,98,7020,30.1,11.4
Lemur_catta,19.8,2210,9.8,43.6
Lophocebus_albigena,90,6010,18.37,5
Macaca_sylvanus,97.9,9625,33.72,10.9
Nasalis_larvatus,83.8,9729.6,12.67,56
Pan_troglodytes,350.5,40366.7,53.83,26
Papio_hamadryas,151.6,12600,58.27,17.7
Piliocolobus_badius,63.5,6976,36.77,64.2
Pithecia_pithecia,32.6,1580,4.45,8.8
Propithecus_diadema,40.5,6210,4.67,38.6
Saguinus_fuscicollis,8,396.6,5.93,0
Semnopithecus_entellus,106.4,11109.7,26.96,51
Symphalangus_syndactylus,122.5,10710,4.2,42.4
Varecia_variegata,31.1,3430,23.67,5
