species,clade,abs_female_ECV,female_mass, groupsize,per_leaves
Alouatta_caraya,platyr,1.679427897,3.627365857,1.0923697,1.830588669
Alouatta_palliata,platyr,1.681241237,3.728353782,1.172310969,1.751279104
Alouatta_pigra,platyr,1.688419822,3.808210973,0.835056102,1.654176542
Alouatta_seniculus,platyr,1.73479983,3.716837723,0.871572936,1.682145076
Ateles_belzebuth,platyr,2.051923916,3.928621135,1.443262987,0.954242509
Ateles_geoffroyi,platyr,2.039810554,3.862727528,1.439332694,1.173186268
Cebus_apella,platyr,1.808210973,3.396042345,1.257678575,1
Cercocebus_agilis,cata,2.003891166,3.752816431,1.650015952,1.204119983
Cercopithecus_ascanius,cata,1.739572344,3.462547729,1.386320574,1.152288344
Cercopithecus_mitis,cata,1.814247596,3.66539335,1.306210508,1.309630167
Chlorocebus_aethiops,cata,1.773054693,3.536343767,1.267406419,1.155336037
Colobus_guereza,cata,1.843855423,3.875385416,0.958563883,1.86332286
Erythrocebus_patas,cata,1.948901761,3.812913357,1.388456453,0.301029996
Eulemur_fulvus,strep,1.404833717,3.367970581,0.919078092,1.408239965
Gorilla_gorilla,cata,2.670245853,4.926856709,1.031408464,1.968482949
Hylobates_lar,cata,2.002166062,3.730854921,0.586587305,1.392696953
Indri_indri,strep,1.532754379,3.835056102,0.522444234,1.755874856
Lagothrix_lagotricha,platyr,1.991226076,3.846337112,1.478566496,1.056904851
Lemur_catta,strep,1.29666519,3.344392274,0.991226076,1.639486489
Lophocebus_albigena,cata,1.954242509,3.778874472,1.264109156,0.698970004
Macaca_sylvanus,cata,1.990782692,3.983400738,1.527887566,1.037426498
Nasalis_larvatus,cata,1.923244019,3.988094986,1.102776615,1.748188027
Pan_troglodytes,cata,2.544688022,4.606023247,1.73102438,1.414973348
Papio_hamadryas,cata,2.180699201,4.100370545,1.765445018,1.247973266
Piliocolobus_badius,cata,1.802773725,3.843606472,1.56549363,1.807535028
Pithecia_pithecia,platyr,1.5132176,3.198657087,0.648360011,0.944482672
Propithecus_diadema,strep,1.607455023,3.7930916,0.669316881,1.586587305
Saguinus_fuscicollis,platyr,0.903089987,2.59835271,0.773054693,0
Semnopithecus_entellus,cata,2.026941628,4.045702332,1.430719888,1.707570176
Symphalangus_syndactylus,cata,2.088136089,4.029789471,0.62324929,1.627365857
Varecia_variegata,strep,1.492760389,3.53529412,1.374198258,0.698970004
